Nombre;Valoración
Smallville;8.4
Smallville;8.4
Smallville;8.4
Smallville;8.4
Young Justice;8.4
Young Justice;8.4
Young Justice;8.4
Arrow;8.4
Young Justice;8.4
Gotham;8.4
Gotham;8.4
Gotham;8.4
Gotham;8.4
Gotham;8.4
Lucifer;8.4
Young Justice;8.4
Young Justice;8.4
Doom Patrol;8.4
Luke Cage;8.3
Luke Cage;8.3
Agents of S.H.I.E.L.D.;8.3
Agents of S.H.I.E.L.D.;8.3
The Punisher;8.3
The Punisher;8.3
Agents of S.H.I.E.L.D.;8.3
Agents of S.H.I.E.L.D.;8.3
Agents of S.H.I.E.L.D.;8.3
Agents of S.H.I.E.L.D.;8.3
Agents of S.H.I.E.L.D.;8.3
Batman Beyond;8.3
Batman Beyond;8.3
Batman Beyond;8.3
Batman: The Animated Series;8.3
Batman: The Animated Series;8.3
Batman: The Animated Series;8.3
Batman: The Animated Series;8.3
Batman: The Animated Series;8.3
Batman: The Animated Series;8.3
The New Batman Adventures;8.3
Justice League;8.3
Justice League Unlimited;8.3
Smallville;8.3
Smallville;8.3
Smallville;8.3
Smallville;8.3
Smallville;8.3
Smallville;8.3
Teen Titans;8.3
Smallville;8.3
Smallville;8.3
Smallville;8.3
Smallville;8.3
Young Justice;8.3
Young Justice;8.3
Arrow;8.3
The Flash;8.3
Gotham;8.3
Constantine;8.3
Arrow;8.3
The Flash;8.3
Gotham;8.3
Gotham;8.3
Lucifer;8.3
Gotham;8.3
Gotham;8.3
Supergirl;8.3
Lucifer;8.3
Young Justice;8.3
Gotham;8.3
Gotham;8.3
Arrow;8.3
Gotham;8.3
Gotham;8.3
Gotham;8.3
Gotham;8.3
Gotham;8.3
Doom Patrol;8.3
Doom Patrol;8.3
Supergirl;8.3
Supergirl;8.3
WandaVision;8.2
Luke Cage;8.2
Agents of S.H.I.E.L.D.;8.2
Agents of S.H.I.E.L.D.;8.2
Agents of S.H.I.E.L.D.;8.2
Agents of S.H.I.E.L.D.;8.2
Agents of S.H.I.E.L.D.;8.2
Agents of S.H.I.E.L.D.;8.2
Agents of S.H.I.E.L.D.;8.2
Agents of S.H.I.E.L.D.;8.2
Watchmen;8.2
Batman Begins;8.2
Batman Begins;8.2
Batman Beyond;8.2
Batman Beyond;8.2
Batman Beyond;8.2
Batman Beyond;8.2
Batman Beyond;8.2
Batman: The Animated Series;8.2
Batman: The Animated Series;8.2
The Batman;8.2
The Batman;8.2
The New Batman Adventures;8.2
The New Batman Adventures;8.2
Justice League;8.2
Justice League;8.2
Justice League;8.2
Justice League Unlimited;8.2
Smallville;8.2
Smallville;8.2
Smallville;8.2
Smallville;8.2
Smallville;8.2
Smallville;8.2
Smallville;8.2
Smallville;8.2
Smallville;8.2
Smallville;8.2
Smallville;8.2
Smallville;8.2
Smallville;8.2
Smallville;8.2
The Batman;8.2
Smallville;8.2
Krypto the Superdog;8.2
Krypto the Superdog;8.2
Smallville;8.2
Human Target;8.2
Smallville;8.2
Smallville;8.2
Smallville;8.2
Young Justice;8.2
Young Justice;8.2
Arrow;8.2
Young Justice;8.2
Arrow;8.2
Constantine;8.2
Constantine;8.2
Constantine;8.2
Constantine;8.2
Constantine;8.2
Gotham;8.2
Gotham;8.2
Gotham;8.2
Gotham;8.2
Gotham;8.2
Lucifer;8.2
Lucifer;8.2
Gotham;8.2
Gotham;8.2
Lucifer;8.2
Lucifer;8.2
Gotham;8.2
Young Justice;8.2
Gotham;8.2
Gotham;8.2
Gotham;8.2
Supergirl;8.2
Constantine: City of Demons;8.2
DC's Legends of Tomorrow;8.2
Gotham;8.2
Gotham;8.2
WandaVision;8.1
Guardians of the Galaxy: Inferno;8.1
Team Thor;8.1
Marvel Studios: Assembled;8.1
Luke Cage;8.1
Agents of S.H.I.E.L.D.;8.1
Agents of S.H.I.E.L.D.;8.1
Agents of S.H.I.E.L.D.;8.1
Agents of S.H.I.E.L.D.;8.1
Agents of S.H.I.E.L.D.;8.1
Agents of S.H.I.E.L.D.;8.1
Agents of S.H.I.E.L.D.;8.1
Agents of S.H.I.E.L.D.;8.1
Catch Me If You Can;8.1
V for Vendetta;8.1
Batman Beyond;8.1
Justice League: The Flashpoint Paradox;8.1
Superman: The Animated Series;8.1
Batman: The Telltale Series;8.1
The Fire Rises: The Creation and Impact of the Dark Knight Trilogy;8.1
Justice League: Alien Invasion;8.1
Batman Beyond;8.1
Batman Beyond;8.1
Batman Beyond;8.1
Batman: The Animated Series;8.1
Batman: The Animated Series;8.1
Batman: The Animated Series;8.1
Batman: The Animated Series;8.1
Batman: The Animated Series;8.1
Batman: The Animated Series;8.1
Batman: The Animated Series;8.1
Batman: The Animated Series;8.1
Justice League;8.1
Justice League;8.1
Justice League Unlimited;8.1
Justice League;8.1
Justice League;8.1
Smallville;8.1
Smallville;8.1
Smallville;8.1
Smallville;8.1
Smallville;8.1
Smallville;8.1
Smallville;8.1
Smallville;8.1
Smallville;8.1
Smallville;8.1
Smallville;8.1
Teen Titans;8.1
The Batman;8.1
The Batman;8.1
The Batman;8.1
The Batman;8.1
Smallville;8.1
Smallville;8.1
Smallville;8.1
Smallville;8.1
Smallville;8.1
Human Target;8.1
Smallville;8.1
Smallville;8.1
Smallville;8.1
Beware the Batman;8.1
The Flash;8.1
Gotham;8.1
Gotham;8.1
Gotham;8.1
Gotham;8.1
Constantine;8.1
Gotham;8.1
Lucifer;8.1
Supergirl;8.1
Gotham;8.1
Gotham;8.1
Gotham;8.1
Gotham;8.1
Supergirl;8.1
Lucifer;8.1
Young Justice;8.1
Gotham;8.1
The Flash;8.1
DC's Legends of Tomorrow;8.1
Gotham;8.1
Doom Patrol;8.1
Supergirl;8.1
Supergirl;8.1
Guardians of the Galaxy;8
The Avengers;8
Marvel Studios: Assembled;8
Jessica Jones;8
Luke Cage;8
Luke Cage;8
Agents of S.H.I.E.L.D.;8
The Falcon and the Winter Soldier;8
The Falcon and the Winter Soldier;8
Agents of S.H.I.E.L.D.;8
Agents of S.H.I.E.L.D.;8
The Iron Giant;8
Batman Beyond;8
Batman Beyond;8
Batman Beyond;8
Batman Beyond;8
Batman Beyond;8
Batman Beyond;8
Batman: The Animated Series;8
Batman: The Animated Series;8
Batman: The Animated Series;8
The Batman;8
The New Batman Adventures;8
Justice League;8
Justice League Unlimited;8
Justice League Unlimited;8
Justice League;8
Justice League Unlimited;8
Smallville;8
Smallville;8
Smallville;8
The Zeta Project;8
The Zeta Project;8
The Batman;8
Smallville;8
The Batman;8
Smallville;8
Smallville;8
Krypto the Superdog;8
Krypto the Superdog;8
Krypto the Superdog;8
Smallville;8
Smallville;8
Batman: Black and White;8
Smallville;8
Batman: Black and White;8
Batman: Black and White;8
Batman: Black and White;8
Smallville;8
Human Target;8
Human Target;8
Smallville;8
Human Target;8
Smallville;8
Gotham;8
Gotham;8
Gotham;8
Gotham;8
Supergirl;8
Gotham;8
Gotham;8
Gotham;8
Gotham;8
Gotham;8
Supergirl;8
Powerless;8
Young Justice;8
Young Justice;8
Young Justice;8
Gotham;8
Watchmen;8
Gotham;8
Constantine: City of Demons;8
The Flash;8
DC's Legends of Tomorrow;8
Watchmen;8
Thor: Ragnarok;7.9
Iron Man;7.9
Luke Cage;7.9
Luke Cage;7.9
Agents of S.H.I.E.L.D.;7.9
The Falcon and the Winter Soldier;7.9
The Falcon and the Winter Soldier;7.9
Doom Patrol;7.9
Teen Titans;7.9
Lego Batman: The Videogame;7.9
You Will Believe: The Cinematic Saga of Superman;7.9
Legends of the Dark Knight: The History of Batman;7.9
The Magic Behind the Cape;7.9
Superman II: Restoring the Vision;7.9
Batman Beyond;7.9
Batman Beyond;7.9
Batman Beyond;7.9
Batman Beyond;7.9
Batman Beyond;7.9
Batman Beyond;7.9
Batman Beyond;7.9
Batman: The Animated Series;7.9
Batman: The Animated Series;7.9
Batman: The Animated Series;7.9
Batman: The Animated Series;7.9
Batman: The Animated Series;7.9
Batman: The Animated Series;7.9
Batman: The Animated Series;7.9
The Batman;7.9
The Batman;7.9
The Batman;7.9
The Batman;7.9
The New Batman Adventures;7.9
Justice League Unlimited;7.9
Justice League Unlimited;7.9
Justice League;7.9
Justice League;7.9
Smallville;7.9
Smallville;7.9
Smallville;7.9
Smallville;7.9
Smallville;7.9
Smallville;7.9
The Zeta Project;7.9
Justice League Unlimited;7.9
Justice League Unlimited;7.9
The Batman;7.9
Human Target;7.9
Human Target;7.9
